"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","Label","minuslogqval","Color"
"35","Injured / Non-injured","P63085","P63085",0.610583925,0.610583925,0.000395011,0.000118593,16,"P63085","Mapk1","Mitogen-activated protein kinase 1","MK01_MOUSE",11,52.68770808,1.526877081,"Injured","Non-injured","nucleus,nucleoplasm,cytoplasm,mitochondrion,early endosome,late endosome,Golgi apparatus,microtubule organizing center,cytosol,cytoskeleton,plasma membrane,caveola,focal adhesion,axon,pseudopodium,dendrite cytoplasm,perikaryon,protein complex,extracellular exosome,mitotic spindle","phosphotyrosine binding,protein kinase activity,protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,transcription factor binding,RNA polymerase II carboxy-terminal domain kinase activity,kinase activity,phosphatase binding,mitogen-activated protein kinase kinase kinase binding,identical protein binding","MAPK cascade,activation of MAPK activity,transcription, DNA-templated,protein phosphorylation,apoptotic process,cellular response to DNA damage stimulus,cell cycle,heart development,positive regulation of cell proliferation,response to toxic substance,animal organ morphogenesis,regulation of gene expression,positive regulation of gene expression,positive regulation of peptidyl-threonine phosphorylation,neural crest cell development,diadenosine tetraphosphate biosynthetic process,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sensory perception of pain,cytosine metabolic process,regulation of ossification,positive regulation of cell migration,regulation of cellular pH,thyroid gland development,regulation of protein stability,lipopolysaccharide-mediated signaling pathway,positive regulation of telomere maintenance via telomerase,response to lipopolysaccharide,regulation of stress-activated MAPK cascade,positive regulation of protein import into nucleus, translocation,mammary gland epithelial cell proliferation,cellular response to amino acid starvation,cellular response to reactive oxygen species,response to nicotine,ERBB signaling pathway,outer ear morphogenesis,response to exogenous dsRNA,response to estrogen,negative regulation of cell differentiation,positive regulation of translation,positive regulation of transcription, DNA-templated,thymus development,T cell receptor signaling pathway,B cell receptor signaling pathway,regulation of sequence-specific DNA binding transcription factor activity,stress-activated MAPK cascade,regulation of cytoskeleton organization,positive regulation of telomerase activity,Bergmann glial cell differentiation,long-term synaptic potentiation,face development,lung morphogenesis,trachea formation,labyrinthine layer blood vessel development,cardiac neural crest cell development involved in heart development,ERK1 and ERK2 cascade,response to epidermal growth factor,cellular response to cadmium ion,caveolin-mediated endocytosis,regulation of Golgi inheritance,cellular response to granulocyte macrophage colony-stimulating factor stimulus,cellular response to dopamine,positive regulation of telomere capping,regulation of early endosome to late endosome transport",NA,3.92594094462346,"Red"
"36","Injured / Non-injured","Q9WV98","Q9WV98",-0.702831333,0.702831333,0.000455325,0.000134052,16,"Q9WV98","Timm9","Mitochondrial import inner membrane translocase subunit Tim9","TIM9_MOUSE",7,-38.56346877,0.614365312,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex,mitochondrial inner membrane protein insertion complex","transporter activity,protein transporter activity,protein homodimerization activity,metal ion binding,chaperone binding","protein import into mitochondrial inner membrane,chaperone-mediated protein transport",NA,3.87272670214,"Blue"
"37","Injured / Non-injured","Q9CQV1","Q9CQV1",-0.729857143,0.729857143,0.00178716,0.000451457,16,"Q9CQV1","Pam16","Mitochondrial import inner membrane translocase subunit TIM16","TIM16_MOUSE",5,-39.70363833,0.602963617,"Injured","Non-injured","presequence translocase-associated import motor,cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial inner membrane presequence translocase complex,mitochondrial matrix,extrinsic component of mitochondrial inner membrane,protein complex","molecular_function","ossification,protein import into mitochondrial matrix,negative regulation of ATPase activity,DNA biosynthetic process,negative regulation of apoptotic signaling pathway",NA,3.34538360869942,"Blue"
"38","Injured / Non-injured","P62073","P62073",-0.518504292,0.518504292,0.002016089,0.000504022,16,"P62073","Timm10","Mitochondrial import inner membrane translocase subunit Tim10","TIM10_MOUSE",5,-30.19047945,0.698095206,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex","transporter activity,protein transporter activity,protein homodimerization activity,metal ion binding,chaperone binding","protein import into mitochondrial inner membrane,chaperone-mediated protein transport",NA,3.2975505066694,"Grey"
"39","Injured / Non-injured","P47811;P47811-3","P47811;P47811-3",0.796418429,0.796418429,0.002840989,0.000682967,16,"P47811;P47811-3","Mapk14","Mitogen-activated protein kinase 14;Isoform 3 of Mitogen-activated protein kinase 14","MK14_MOUSE",9,73.67841072,1.736784107,"Injured","Non-injured","spindle pole,cell,nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,nuclear speck,extracellular exosome;","protein kinase activity,protein serine/threonine kinase activity,MAP kinase activity,protein binding,ATP binding,kinase activity,enzyme binding,protein phosphatase binding,mitogen-activated protein kinase p38 binding,NFAT protein binding;","DNA damage checkpoint,cell morphogenesis,cartilage condensation,angiogenesis,placenta development,chondrocyte differentiation,positive regulation of cytokine secretion involved in immune response,glucose metabolic process,transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,apoptotic process,cellular response to DNA damage stimulus,mitochondrion organization,transmembrane receptor protein serine/threonine kinase signaling pathway,skeletal muscle tissue development,positive regulation of gene expression,positive regulation of macrophage chemotaxis,positive regulation of myotube differentiation,myoblast differentiation involved in skeletal muscle regeneration,peptidyl-serine phosphorylation,fatty acid oxidation,regulation of ossification,osteoclast differentiation,positive regulation of cyclase activity,lipopolysaccharide-mediated signaling pathway,response to muramyl dipeptide,response to lipopolysaccharide,intracellular signal transduction,cellular response to vascular endothelial growth factor stimulus,response to muscle stretch,p38MAPK cascade,positive regulation of protein import into nucleus,signal transduction in response to DNA damage,regulation of mRNA stability,positive regulation of erythrocyte differentiation,positive regulation of myoblast differentiation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of glucose import,vascular endothelial growth factor receptor signaling pathway,striated muscle cell differentiation,positive regulation of muscle cell differentiation,positive regulation of cardiac muscle cell proliferation,cellular response to lipopolysaccharide,cellular response to lipoteichoic acid,cellular response to ionizing radiation,negative regulation of canonical Wnt signaling pathway,positive regulation of brown fat cell differentiation,stress-induced premature senescence,cellular response to virus,regulation of cytokine production involved in inflammatory response,positive regulation of myoblast fusion,positive regulation of metallopeptidase activity,positive regulation of reactive oxygen species metabolic process,positive regulation of interleukin-12 secretion;",NA,3.16560028030696,"Red"
"40","Injured / Non-injured","Q791T5;Q791T5-2","Q791T5;Q791T5-2",-0.655487321,0.655487321,0.002993336,0.000716999,16,"Q791T5;Q791T5-2","Mtch1","Mitochondrial carrier homolog 1;Isoform 2 of Mitochondrial carrier homolog 1","MTCH1_MOUSE",7,-36.51389918,0.634861008,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,membrane,integral component of membrane;",";","transport,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of apoptotic process;",NA,3.1444814500432,"Blue"
"41","Injured / Non-injured","E0CZ49;F7CCK8;Q9DAT5","E0CZ49;F7CCK8;Q9DAT5",-1.163619155,1.163619155,0.007547411,0.001660555,12,"E0CZ49;F7CCK8;Q9DAT5","Trmu","Mitochondrial tRNA-specific 2-thiouridylase 1;Mitochondrial tRNA-specific 2-thiouridylase 1 (Fragment);Mitochondrial tRNA-specific 2-thiouridylase 1","E0CZ49_MOUSE;F7CCK8_MOUSE;MTU1_MOUSE",2,-55.36086907,0.446391309,"Injured","Non-injured",";;nucleoplasm,mitochondrion",";;tRNA binding,ATP binding,sulfurtransferase activity",";;tRNA wobble position uridine thiolation,mitochondrial tRNA thio-modification",NA,2.77974673536163,"Blue"
"42","Injured / Non-injured","Q9CXD6;Q9CXD6-3","Q9CXD6;Q9CXD6-3",-0.588678049,0.588678049,0.008838003,0.001910531,16,"Q9CXD6;Q9CXD6-3","Mcur1","Mitochondrial calcium uniporter regulator 1;Isoform 3 of Mitochondrial calcium uniporter regulator 1","MCUR1_MOUSE",7,-33.50480724,0.664951928,"Injured","Non-injured","integral component of mitochondrial inner membrane;","molecular_function;","mitochondrial calcium ion transport,calcium ion transmembrane import into mitochondrion,positive regulation of mitochondrial calcium ion concentration,calcium ion import;",NA,2.71884591111888,"Blue"
"43","Injured / Non-injured","Q3UFY8","Q3UFY8",-0.49931002,0.49931002,0.012253851,0.002570603,16,"Q3UFY8","Trmt10c","Mitochondrial ribonuclease P protein 1","MRRP1_MOUSE",4,-29.25549587,0.707445041,"Injured","Non-injured","nucleoplasm,mitochondrion,mitochondrial nucleoid","RNA binding,tRNA (guanine-N1-)-methyltransferase activity,tRNA (adenine-N1-)-methyltransferase activity","mitochondrial RNA 5'-end processing,tRNA methylation,positive regulation of mitochondrial translation,mitochondrial tRNA processing",NA,2.58996498995472,"Grey"
"44","Injured / Non-injured","E9PXB9;Q9CQ85;Z4YN86","E9PXB9;Q9CQ85;Z4YN86",-0.715451729,0.715451729,0.022795201,0.004504846,10,"E9PXB9;Q9CQ85;Z4YN86","Timm22","Mitochondrial import inner membrane translocase subunit Tim22;Mitochondrial import inner membrane translocase subunit Tim22;Mitochondrial import inner membrane translocase subunit Tim22 (Fragment)","E9PXB9_MOUSE;TIM22_MOUSE;Z4YN86_MOUSE",2,-39.09855892,0.609014411,"Injured","Non-injured",";mitochondrion,integral component of membrane,mitochondrial inner membrane protein insertion complex;",";protein binding,protein channel activity,mitochondrion targeting sequence binding;",";protein import into mitochondrial inner membrane;",NA,2.34632005096536,"Blue"
"45","Injured / Non-injured","Q9D187","Q9D187",1.18889611,1.18889611,0.068939931,0.01236549,14,"Q9D187","Fam96b","Mitotic spindle-associated MMXD complex subunit MIP18","MIP18_MOUSE",2,127.978237,2.27978237,"Injured","Non-injured","nucleus,nucleoplasm,cytoplasm,spindle,cytosol,MMXD complex,CIA complex","molecular_function","chromosome segregation,iron-sulfur cluster assembly",NA,1.90778866942968,"Grey"
"46","Injured / Non-injured","E0CYB9;E0CYI3;F7CTF8;Q6PCP5;Q6PCP5-3;Q6PCP5-4","E0CYB9;E0CYI3;F7CTF8;Q6PCP5;Q6PCP5-3;Q6PCP5-4",-0.537771208,0.537771208,0.083866031,0.01475909,16,"E0CYB9;E0CYI3;F7CTF8;Q6PCP5;Q6PCP5-3;Q6PCP5-4","Mff","Mitochondrial fission factor;Mitochondrial fission factor;Mitochondrial fission factor (Fragment);Mitochondrial fission factor;Isoform 3 of Mitochondrial fission factor;Isoform 4 of Mitochondrial fission factor","E0CYB9_MOUSE;E0CYI3_MOUSE;F7CTF8_MOUSE;MFF_MOUSE;MFF_MOUSE;MFF_MOUSE",3,-31.11657455,0.688834254,"Injured","Non-injured",";;;mitochondrion,mitochondrial outer membrane,peroxisome,synaptic vesicle,cell junction,integral component of mitochondrial membrane;;",";;;protein binding,protein homodimerization activity;;",";;;mitochondrial fission,release of cytochrome c from mitochondria,protein targeting to mitochondrion,mitochondrial fusion,peroxisome fission,mitochondrial fragmentation involved in apoptotic process,protein homooligomerization,mitochondrion morphogenesis,positive regulation of mitochondrial fission,positive regulation of release of cytochrome c from mitochondria,positive regulation of protein targeting to membrane,regulation of peroxisome organization;;",NA,1.83094041894671,"Grey"
"47","Injured / Non-injured","A0A1B0GSU2;D3YVK4;D3YVK5;Q9WV96","A0A1B0GSU2;D3YVK4;D3YVK5;Q9WV96",-0.380812092,0.380812092,0.104132365,0.017928291,16,"A0A1B0GSU2;D3YVK4;D3YVK5;Q9WV96","Timm10b","Mitochondrial import inner membrane translocase subunit Tim10 B;Protein Dnhd1;Protein Dnhd1;Mitochondrial import inner membrane translocase subunit Tim10 B","A0A1B0GSU2_MOUSE;D3YVK4_MOUSE;D3YVK5_MOUSE;T10B_MOUSE",3,-23.19948408,0.768005159,"Injured","Non-injured",";;;mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex,mitochondrial inner membrane protein insertion complex",";;;metal ion binding",";;;protein transport",NA,1.74646110723892,"Grey"
"48","Injured / Non-injured","Q8R2R6","Q8R2R6",-0.345260518,0.345260518,0.120375112,0.020427292,10,"Q8R2R6","Mtg1","Mitochondrial ribosome-associated GTPase 1","MTG1_MOUSE",3,-21.28341803,0.78716582,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial matrix,mitochondrial ribosome","GTPase activity,GTP binding","ribosome biogenesis,regulation of respiratory system process,regulation of mitochondrial translation",NA,1.68978920299105,"Grey"
"49","Injured / Non-injured","Q9CZP5","Q9CZP5",-1.242173327,1.242173327,0.137858432,0.02325323,14,"Q9CZP5","Bcs1l","Mitochondrial chaperone BCS1","BCS1_MOUSE",3,-57.72646472,0.422735353,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of membrane","ATP binding","mitochondrion organization,mitochondrial respiratory chain complex I assembly,mitochondrial respiratory chain complex IV assembly,mitochondrial respiratory chain complex III assembly",NA,1.63351671272045,"Grey"
"50","Injured / Non-injured","Q9CPQ3","Q9CPQ3",-0.318092446,0.318092446,0.158718513,0.026486276,16,"Q9CPQ3","Tomm22","Mitochondrial import receptor subunit TOM22 homolog","TOM22_MOUSE",4,-19.78702349,0.802129765,"Injured","Non-injured","mitochondrion,mitochondrial outer membrane translocase complex,mitochondrial inner membrane,membrane,integral component of membrane,integral component of mitochondrial outer membrane","protein binding,protein channel activity","protein import into mitochondrial matrix,protein import into mitochondrial outer membrane",NA,1.57697909969987,"Grey"
"51","Injured / Non-injured","Q80U63;Q80U63-2","Q80U63;Q80U63-2",-0.059677197,0.059677197,0.546957041,0.082725338,16,"Q80U63;Q80U63-2","Mfn2","Mitofusin-2;Isoform 2 of Mitofusin-2","MFN2_MOUSE",3,-4.05212212,0.959478779,"Injured","Non-injured","mitochondrion,cytosol,microtubule cytoskeleton,integral component of membrane,intrinsic component of mitochondrial outer membrane;","GTPase activity,protein binding,GTP binding,ubiquitin protein ligase binding;","blastocyst formation,protein targeting to mitochondrion,apoptotic process,response to unfolded protein,mitochondrial membrane organization,mitochondrial fusion,protein localization to pre-autophagosomal structure,negative regulation of Ras protein signal transduction,camera-type eye morphogenesis,negative regulation of smooth muscle cell proliferation,mitochondrion localization,parkin-mediated mitophagy in response to mitochondrial depolarization,cell cycle arrest;",NA,1.08236144971982,"Grey"
"52","Injured / Non-injured","Q9QYA2","Q9QYA2",0.504572774,0.504572774,0.816955189,0.118457389,16,"Q9QYA2","Tomm40","Mitochondrial import receptor subunit TOM40 homolog","TOM40_MOUSE",4,41.87031727,1.418703173,"Injured","Non-injured","mitochondrion,mitochondrial outer membrane translocase complex,mitochondrial inner membrane,cytosol,integral component of membrane,integral component of mitochondrial membrane,pore complex,extracellular exosome","protein channel activity,porin activity","protein targeting to mitochondrion,ion transport,protein import into mitochondrial matrix",NA,0.926437844170081,"Grey"
