Significantly Down-regulated protein groups: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,
897 Significantly down-regulated protein groups (log2(FC) <= -0.58 & q-value <= 0.01) ,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
UniProtIds,Genes,ProteinDescriptions,ProteinNames,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# Unique Total Peptides,% Change,Ratio,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Q9CZG9,Pdzd11,PDZ domain-containing protein 11,PDZ11_MOUSE,-0.597486793,0.597486793,0.000187387,6.22E-05,2,-33.9095737,0.660904263,"cytosol,cell-cell junction,basolateral plasma membrane,synapse,presynapse",protein C-terminus binding,"neurotransmitter secretion,maintenance of epithelial cell apical/basal polarity,protein localization to basolateral plasma membrane",
Q9D8T7;Q9D8T7-2,Slirp,"SRA stem-loop-interacting RNA-binding protein, mitochondrial;Isoform 2 of SRA stem-loop-interacting RNA-binding protein, mitochondrial",SLIRP_MOUSE,-0.894228711,0.894228711,0.000179583,6.00E-05,3,-46.19652391,0.538034761,"acrosomal vesicle,nucleus,cytoplasm,mitochondrion,intracellular ribonucleoprotein complex,sperm flagellum,perinuclear region of cytoplasm;",RNA binding;,"negative regulation of mitochondrial RNA catabolic process,transcription, DNA-templated,regulation of transcription, DNA-templated,spermatid development,single fertilization,flagellated sperm motility,mitochondrion morphogenesis;",
P28271,Aco1,Cytoplasmic aconitate hydratase,ACOC_MOUSE,-0.92545123,0.92545123,0.000171898,5.77E-05,47,-47.34841855,0.526515815,"cytoplasm,mitochondrion,endoplasmic reticulum,Golgi apparatus,cytosol,extracellular exosome","RNA binding,aconitate hydratase activity,iron-responsive element binding,metal ion binding,3 iron, 4 sulfur cluster binding,4 iron, 4 sulfur cluster binding","tricarboxylic acid cycle,citrate metabolic process,regulation of translation,cellular iron ion homeostasis,post-embryonic development,response to iron(II) ion,regulation of gene expression,intestinal absorption",
Q9NYQ2,Hao2,Hydroxyacid oxidase 2,HAOX2_MOUSE,-0.899138455,0.899138455,0.000167778,5.65E-05,20,-46.37931536,0.536206846,"mitochondrion,peroxisome,extracellular exosome","(S)-2-hydroxy-acid oxidase activity,receptor binding,FMN binding,very-long-chain-(S)-2-hydroxy-acid oxidase activity,long-chain-(S)-2-hydroxy-long-chain-acid oxidase activity,medium-chain-(S)-2-hydroxy-acid oxidase activity",fatty acid oxidation,
Q9WVA2,Timm8a1,Mitochondrial import inner membrane translocase subunit Tim8 A,TIM8A_MOUSE,-0.785212172,0.785212172,0.000153882,5.21E-05,5,-41.97333868,0.580266613,"mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space",metal ion binding,protein transport,
P70227,Itpr3,"Inositol 1,4,5-trisphosphate receptor type 3",ITPR3_MOUSE,-2.577838474,2.577838474,0.000152993,5.19E-05,4,-83.25082982,0.167491702,"nucleus,nucleoplasm,nucleolus,cytoplasm,endoplasmic reticulum membrane,plasma membrane,integral component of plasma membrane,membrane,receptor complex","inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity,calcium ion binding,protein binding,calcium-release channel activity,phosphatidylinositol binding,inositol 1,4,5 trisphosphate binding","calcium ion transport,memory,inositol phosphate-mediated signaling,sensory perception of bitter taste,sensory perception of sweet taste,sensory perception of umami taste,release of sequestered calcium ion into cytosol,response to calcium ion,long-term synaptic potentiation,calcium ion transport into cytosol",
Q9CQX8,Mrps36,"28S ribosomal protein S36, mitochondrial",RT36_MOUSE,-1.408929285,1.408929285,0.000150352,5.12E-05,4,-62.34089247,0.376591075,"mitochondrion,mitochondrial small ribosomal subunit,mitochondrial oxoglutarate dehydrogenase complex",,,
B1AR13;B2RWE3;Z4YKM2,Cisd3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial;CDGSH iron sulfur domain 3;CDGSH iron-sulfur domain-containing protein 3, mitochondrial",CISD3_MOUSE;B2RWE3_MOUSE;Z4YKM2_MOUSE,-1.112473139,1.112473139,0.000149725,5.11E-05,4,-53.74994902,0.46250051,mitochondrion;;,"metal ion binding,2 iron, 2 sulfur cluster binding;;",biological_process;;,
P99025,Gchfr,GTP cyclohydrolase 1 feedback regulatory protein,GFRP_MOUSE,-1.616145285,1.616145285,0.000148307,5.06E-05,2,-67.37941148,0.326205885,"nucleus,nucleoplasm,cytoplasm,cytosol,dendrite,nuclear membrane,melanosome,protein complex","enzyme inhibitor activity,amino acid binding,GTP-dependent protein binding,GTP cyclohydrolase binding","negative regulation of biosynthetic process,negative regulation of GTP cyclohydrolase I activity,protein heterooligomerization",
Q99M87,Dnaja3,"DnaJ homolog subfamily A member 3, mitochondrial",DNJA3_MOUSE,-0.873256482,0.873256482,0.000138675,4.77E-05,13,-45.40867879,0.545913212,"nucleus,cytoplasm,mitochondrion,mitochondrial matrix,cytosol,extrinsic component of plasma membrane,cell junction,neuromuscular junction,mitochondrial nucleoid,intracellular membrane-bounded organelle,postsynaptic membrane,actin filament,IkappaB kinase complex,I-kappaB/NF-kappaB complex","interferon-gamma receptor binding,protein binding,ATP binding,transcription factor binding,protein kinase binding,Hsp70 protein binding,GTPase regulator activity,metal ion binding,NF-kappaB binding,unfolded protein binding","negative regulation of transcription from RNA polymerase II promoter,mitochondrial DNA replication,protein folding,negative regulation of protein kinase activity,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,activation-induced cell death of T cells,mitochondrion organization,small GTPase mediated signal transduction,neuromuscular junction development,cell aging,negative regulation of cell proliferation,response to heat,positive regulation of protein ubiquitination,negative regulation of NF-kappaB transcription factor activity,T cell differentiation in thymus,response to interferon-gamma,positive regulation of T cell proliferation,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of programmed cell death,negative regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein stabilization,negative regulation of interferon-gamma-mediated signaling pathway",
P10518,Alad,Delta-aminolevulinic acid dehydratase,HEM2_MOUSE,-0.763474995,0.763474995,0.000132364,4.59E-05,17,-41.09242761,0.589075724,"nucleus,cytosol,proteasome core complex,extracellular exosome","porphobilinogen synthase activity,zinc ion binding,identical protein binding,proteasome core complex binding","response to hypoxia,protoporphyrinogen IX biosynthetic process,heme biosynthetic process,response to oxidative stress,response to herbicide,response to iron ion,response to zinc ion,response to aluminum ion,response to ionizing radiation,response to vitamin B1,response to selenium ion,response to activity,response to cobalt ion,response to lipopolysaccharide,response to vitamin E,response to drug,response to amino acid,response to ethanol,response to arsenic-containing substance,response to cadmium ion,response to mercury ion,protein homooligomerization,response to glucocorticoid,response to methylmercury,response to platinum ion,response to fatty acid,cellular response to lead ion,cellular response to interleukin-4,negative regulation of proteasomal protein catabolic process",
P03888,Mtnd1,NADH-ubiquinone oxidoreductase chain 1,NU1M_MOUSE,-2.367076355,2.367076355,0.000126371,4.40E-05,2,-80.61619576,0.193838042,"mitochondrion,mitochondrial respiratory chain complex I,integral component of membrane,dendrite,neuronal cell body",NADH dehydrogenase (ubiquinone) activity,"response to organic cyclic compound,response to hydroperoxide,response to drug,cellular respiration",
Q9D0Q7,Mrpl45,"39S ribosomal protein L45, mitochondrial",RM45_MOUSE,-0.736732422,0.736732422,0.000124674,4.35E-05,7,-39.99030185,0.600096982,"mitochondrion,mitochondrial large ribosomal subunit",RNA binding,biological_process,
Q9D5J6,Shpk,Sedoheptulokinase,SHPK_MOUSE,-1.645865953,1.645865953,0.00012328,4.31E-05,6,-68.04454693,0.319554531,cytoplasm,"ATP binding,sedoheptulokinase activity","carbohydrate metabolic process,pentose-phosphate shunt, non-oxidative branch,phosphorylation,cellular response to interleukin-13,regulation of macrophage activation,regulation of inflammatory response,cellular response to lipopolysaccharide,cellular response to interleukin-4",
Q91W43,Gldc,"Glycine dehydrogenase (decarboxylating), mitochondrial",GCSP_MOUSE,-0.977320457,0.977320457,0.000122006,4.27E-05,18,-49.20777627,0.507922237,"nucleus,mitochondrion,plasma membrane,glycine cleavage complex","glycine dehydrogenase (decarboxylating) activity,glycine binding,lyase activity,enzyme binding,pyridoxal phosphate binding,protein homodimerization activity,pyridoxal binding","glycine catabolic process,glycine decarboxylation via glycine cleavage system,response to methylamine,oxidation-reduction process,response to lipoic acid,cellular response to leukemia inhibitory factor",
Q61102,Abcb7,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7_MOUSE,-1.103112765,1.103112765,0.000121271,4.25E-05,12,-53.44889771,0.465511023,"mitochondrion,mitochondrial inner membrane,integral component of membrane","ATP binding,ATPase activity, coupled to transmembrane movement of substances","cellular iron ion homeostasis,transmembrane transport",
P11714,Cyp2d9,Cytochrome P450 2D9,CP2D9_MOUSE,-2.596893924,2.596893924,0.000116143,4.08E-05,6,-83.47060214,0.165293979,"endoplasmic reticulum membrane,organelle membrane","iron ion binding,steroid hydroxylase activity,heme binding,aromatase activity","arachidonic acid metabolic process,oxidation-reduction process",
Q9CPU0,Glo1,Lactoylglutathione lyase,LGUL_MOUSE,-0.593813688,0.593813688,0.000113461,4.00E-05,14,-33.74109291,0.662589071,"nucleus,cytosol,plasma membrane,extracellular exosome","lactoylglutathione lyase activity,zinc ion binding","carbohydrate metabolic process,regulation of transcription from RNA polymerase II promoter,glutathione metabolic process,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,osteoclast differentiation,negative regulation of apoptotic process",
Q91ZV4,Mogat1,2-acylglycerol O-acyltransferase 1,MOGT1_MOUSE,-1.549090402,1.549090402,0.000112525,3.97E-05,4,-65.82745508,0.341725449,"endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane","2-acylglycerol O-acyltransferase activity,diacylglycerol O-acyltransferase activity","glycerol metabolic process,diacylglycerol biosynthetic process,triglyceride biosynthetic process",
P14094,Atp1b1,Sodium/potassium-transporting ATPase subunit beta-1,AT1B1_MOUSE,-1.337451728,1.337451728,0.000108401,3.84E-05,19,-60.42809916,0.395719008,"intracellular,plasma membrane,sodium:potassium-exchanging ATPase complex,caveola,intercalated disc,membrane,basolateral plasma membrane,apical plasma membrane,sarcolemma,myelin sheath,extracellular exosome,extracellular vesicle","ATPase activator activity,protein binding,protein C-terminus binding,protein kinase binding,MHC class II protein complex binding,ATPase binding,sodium:potassium-exchanging ATPase activity,ATP binding,drug binding,ATPase activity,potassium ion binding,sodium ion binding","response to hypoxia,cellular calcium ion homeostasis,cellular sodium ion homeostasis,cell adhesion,potassium ion import,establishment or maintenance of transmembrane electrochemical gradient,regulation of gene expression,regulation of cardiac muscle contraction by calcium ion signaling,cellular potassium ion homeostasis,positive regulation of ATPase activity,sodium ion export from cell,ATP metabolic process,protein stabilization,relaxation of cardiac muscle,cardiac muscle contraction,protein localization to plasma membrane,membrane repolarization,ATP hydrolysis coupled transmembrane transport,positive regulation of potassium ion transmembrane transporter activity,regulation of calcium ion transmembrane transport,positive regulation of sodium ion export from cell,positive regulation of calcium:sodium antiporter activity,positive regulation of potassium ion import",
G3UW41;Q9CQH0,Pdzk1ip1,"PDZK1 interacting protein 1, isoform CRA_b;PDZK1-interacting protein 1",G3UW41_MOUSE;PDZ1I_MOUSE,-1.369036616,1.369036616,0.000106915,3.80E-05,6,-61.2850312,0.387149688,";integral component of membrane,extracellular exosome",;molecular_function,;biological_process,
Q8VCA8,Scrn2,Secernin-2,SCRN2_MOUSE,-0.966548369,0.966548369,0.000104394,3.72E-05,18,-48.82710952,0.511728905,extracellular exosome,"molecular_function,dipeptidase activity","proteolysis,exocytosis",
Q7TMQ7;S4R1X1,Wdr91,WD repeat-containing protein 91,WDR91_MOUSE;S4R1X1_MOUSE,-0.952491589,0.952491589,9.61E-05,3.46E-05,3,-48.32607374,0.516739263,"cytosol,extrinsic component of endosome membrane,early endosome membrane,late endosome membrane;",phosphatidylinositol 3-kinase regulator activity;,"regulation of phosphatidylinositol 3-kinase activity,early endosome to late endosome transport,regulation of cellular protein catabolic process;",
P47738,Aldh2,"Aldehyde dehydrogenase, mitochondrial",ALDH2_MOUSE,-0.738036511,0.738036511,9.59E-05,3.45E-05,30,-40.04452167,0.599554783,"mitochondrion,mitochondrial matrix,extracellular exosome","aldehyde dehydrogenase (NAD) activity,protein binding,NAD binding","ethanol catabolic process,oxidation-reduction process",
Q8VCT4,Ces1d,Carboxylesterase 1D,CES1D_MOUSE,-1.005938874,1.005938874,9.38E-05,3.40E-05,21,-50.20540262,0.497945974,"endoplasmic reticulum,endoplasmic reticulum lumen,lipid particle,cytosol","sterol esterase activity,triglyceride lipase activity,fatty-acyl-ethyl-ester synthase activity,carboxylic ester hydrolase activity","acyl-CoA metabolic process,cholesterol biosynthetic process,response to toxic substance,lipid catabolic process,short-chain fatty acid catabolic process,epithelial cell differentiation,very-low-density lipoprotein particle assembly,acylglycerol catabolic process,medium-chain fatty acid metabolic process",
Q9CPP6,Ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,NDUA5_MOUSE,-1.05633708,1.05633708,9.25E-05,3.36E-05,10,-51.91486347,0.480851365,"mitochondrion,mitochondrial respiratory chain complex I,respiratory chain complex I",NADH dehydrogenase (ubiquinone) activity,"respiratory electron transport chain,mitochondrial respiratory chain complex I assembly",
Q3TBW2,Mrpl10,"39S ribosomal protein L10, mitochondrial",RM10_MOUSE,-0.955478244,0.955478244,9.13E-05,3.32E-05,6,-48.432938,0.51567062,"nucleoplasm,mitochondrion,mitochondrial large ribosomal subunit,intracellular ribonucleoprotein complex","RNA binding,structural constituent of ribosome","translation,mitochondrial translation",
Q02013,Aqp1,Aquaporin-1,AQP1_MOUSE,-1.341973537,1.341973537,9.04E-05,3.29E-05,2,-60.55193437,0.394480656,"nucleus,cytoplasm,plasma membrane,integral component of plasma membrane,caveola,brush border,basal plasma membrane,membrane,integral component of membrane,basolateral plasma membrane,apical plasma membrane,symbiont-containing vacuole,axon,brush border membrane,nuclear membrane,dense core granule membrane,neuronal cell body membrane,sarcolemma,axon terminus,apical part of cell,extracellular exosome,symbiont-containing vacuole membrane","intracellular cGMP activated cation channel activity,potassium channel activity,water transmembrane transporter activity,ammonium transmembrane transporter activity,potassium ion transmembrane transporter activity,glycerol transmembrane transporter activity,water channel activity,transmembrane transporter activity,nitric oxide transmembrane transporter activity,carbon dioxide transmembrane transporter activity,identical protein binding,ephrin receptor binding","glomerular filtration,renal water transport,cGMP biosynthetic process,potassium ion transport,water transport,cell volume homeostasis,positive regulation of lamellipodium assembly,positive regulation of epithelial cell migration,carbon dioxide transport,ammonium transport,glycerol transport,sensory perception of pain,cellular homeostasis,lateral ventricle development,water homeostasis,pancreatic juice secretion,nitric oxide transport,positive regulation of cell migration,establishment or maintenance of actin cytoskeleton polarity,secretion by cell,cerebrospinal fluid secretion,secretory granule organization,cellular response to stress,cellular response to UV,transepithelial water transport,carbon dioxide transmembrane transport,wound healing,odontogenesis,response to drug,hyperosmotic salinity response,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,response to estrogen,lipid digestion,positive regulation of angiogenesis,positive regulation of saliva secretion,positive regulation of fibroblast proliferation,camera-type eye morphogenesis,corticotropin secretion,renal water absorption,cellular response to hydrogen peroxide,cellular response to inorganic substance,cellular response to mechanical stimulus,cellular response to copper ion,cellular response to mercury ion,cellular response to retinoic acid,cellular response to cAMP,cellular response to hypoxia,cellular response to salt stress,cellular hyperosmotic response,cellular response to dexamethasone stimulus,cellular response to nitric oxide,potassium ion transmembrane transport,metanephric descending thin limb development,metanephric proximal straight tubule development,metanephric proximal convoluted tubule segment 2 development,metanephric glomerulus vasculature development,ammonium transmembrane transport,maintenance of symbiont-containing vacuole by host",
Q9WU84,Ccs,Copper chaperone for superoxide dismutase,CCS_MOUSE,-0.780271302,0.780271302,8.84E-05,3.23E-05,5,-41.77427117,0.582257288,"nucleus,cytoplasm,mitochondrial intermembrane space,extracellular space","copper ion binding,zinc ion binding,superoxide dismutase copper chaperone activity,cadherin binding,superoxide dismutase activity","superoxide metabolic process,metal ion transport,cellular response to oxidative stress,positive regulation of oxidoreductase activity,oxidation-reduction process",
Q9D6Y7;Q9D6Y7-2,Msra,Mitochondrial peptide methionine sulfoxide reductase;Isoform 2 of Mitochondrial peptide methionine sulfoxide reductase,MSRA_MOUSE,-0.946086647,0.946086647,8.77E-05,3.21E-05,12,-48.09615386,0.519038461,"nucleoplasm,cytoplasm,mitochondrion,cytosol,actin cytoskeleton,membrane,extracellular exosome;",peptide-methionine (S)-S-oxide reductase activity;,oxidation-reduction process;,
D3YYK0;Q8K4F5,Abhd11,"Abhydrolase domain containing 11, isoform CRA_b;Protein ABHD11",D3YYK0_MOUSE;ABHDB_MOUSE,-1.260966511,1.260966511,8.75E-05,3.20E-05,6,-58.27356737,0.417264326,;mitochondrion,;hydrolase activity,;,
Q91WL5,Cyp4a12a,Cytochrome P450 4A12A,CP4CA_MOUSE,-0.788347976,0.788347976,8.58E-05,3.14E-05,19,-42.09932693,0.579006731,"extracellular space,endoplasmic reticulum membrane,organelle membrane","monooxygenase activity,iron ion binding,alkane 1-monooxygenase activity,heme binding,aromatase activity,Requires Ontology","fatty acid metabolic process,oxidation-reduction process",
P56375,Acyp2,Acylphosphatase-2,ACYP2_MOUSE,-0.695724439,0.695724439,8.31E-05,3.05E-05,6,-38.26007819,0.617399218,mitochondrion,acylphosphatase activity,biological_process,
Q3UP75,Ugt3a1,UDP-glucuronosyltransferase 3A1,UD3A1_MOUSE,-1.089975182,1.089975182,8.15E-05,3.00E-05,12,-53.02305441,0.469769456,"integral component of membrane,intracellular membrane-bounded organelle,UDP-N-acetylglucosamine transferase complex","UDP-glycosyltransferase activity,glucuronosyltransferase activity","metabolic process,cellular response to genistein",
P35802,Gpm6a,Neuronal membrane glycoprotein M6-a,GPM6A_MOUSE,-0.803736796,0.803736796,7.94E-05,2.93E-05,4,-42.71365478,0.572863452,"plasma membrane,integral component of membrane,filopodium,neuron projection,neuronal cell body,dendritic spine,axonal growth cone,extracellular exosome,extracellular vesicle",calcium channel activity,"neuron migration,neural retina development,synapse assembly,neuron projection morphogenesis,stem cell differentiation,positive regulation of filopodium assembly,calcium ion transmembrane transport",
P70441,Slc9a3r1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,NHRF1_MOUSE,-1.128004527,1.128004527,7.87E-05,2.91E-05,25,-54.24518517,0.457548148,"ruffle,cytoplasm,microvillus,endomembrane system,membrane,apical plasma membrane,filopodium,brush border membrane,microvillus membrane,vesicle,stereocilium,stereocilium tip,membrane raft,apical part of cell,perinuclear region of cytoplasm,extracellular exosome,cell periphery,sperm midpiece","receptor binding,protein binding,beta-catenin binding,chloride channel regulator activity,phosphatase binding,PDZ domain binding,beta-2 adrenergic receptor binding,protein complex binding,protein complex scaffold,protein self-association,myosin II binding,dopamine receptor binding,growth factor receptor binding","renal sodium ion transport,nuclear migration,adenylate cyclase-activating dopamine receptor signaling pathway,sensory perception of sound,negative regulation of cell proliferation,regulation of cell shape,regulation of cell size,negative regulation of platelet-derived growth factor receptor signaling pathway,negative regulation of sodium ion transport,negative regulation of phosphatidylinositol 3-kinase signaling,Wnt signaling pathway,cAMP-mediated signaling,gland morphogenesis,microvillus assembly,actin cytoskeleton organization,negative regulation of cell migration,cellular phosphate ion homeostasis,negative regulation of sodium:proton antiporter activity,bile acid secretion,cellular protein localization,glutathione transport,negative regulation of catenin import into nucleus,regulation of excretion,establishment of epithelial cell apical/basal polarity,regulation of protein kinase activity,negative regulation of mitotic cell cycle,establishment of Golgi localization,negative regulation of protein kinase B signaling,auditory receptor cell stereocilium organization,phospholipase C-activating dopamine receptor signaling pathway,renal absorption,negative regulation of ERK1 and ERK2 cascade,protein localization to plasma membrane,renal phosphate ion absorption,negative regulation of cell motility,positive regulation of intrinsic apoptotic signaling pathway",
E9QJT5;P56376,Acyp1,Acylphosphatase;Acylphosphatase-1,E9QJT5_MOUSE;ACYP1_MOUSE,-0.6436777,0.6436777,7.81E-05,2.90E-05,4,-35.99208146,0.640079185,;extracellular exosome,;acylphosphatase activity,;biological_process,
Q921S7,Mrpl37,"39S ribosomal protein L37, mitochondrial",RM37_MOUSE,-0.866286427,0.866286427,7.74E-05,2.88E-05,5,-45.14429503,0.54855705,"mitochondrion,mitochondrial ribosome,mitochondrial large ribosomal subunit","RNA binding,structural constituent of ribosome","translation,biological_process",
Q9CQL5,Mrpl18,"39S ribosomal protein L18, mitochondrial",RM18_MOUSE,-0.845166634,0.845166634,7.46E-05,2.80E-05,2,-44.33534881,0.556646512,"extracellular space,mitochondrion,mitochondrial large ribosomal subunit","structural constituent of ribosome,5S rRNA binding","translation,rRNA import into mitochondrion",
E9PVU0;E9Q175,Myo6,Unconventional myosin-VI,E9PVU0_MOUSE;E9Q175_MOUSE,-0.623510878,0.623510878,7.32E-05,2.75E-05,54,-35.09105909,0.649089409,;,;,;,
Q9CQV5,Mrps24,"28S ribosomal protein S24, mitochondrial",RT24_MOUSE,-0.808371371,0.808371371,7.23E-05,2.72E-05,2,-42.89738859,0.571026114,"mitochondrion,mitochondrial ribosome,mitochondrial small ribosomal subunit","RNA binding,structural constituent of ribosome","translation,mitochondrial translation",
Q91WV7,Slc3a1,Neutral and basic amino acid transport protein rBAT,SLC31_MOUSE,-1.060164635,1.060164635,7.24E-05,2.72E-05,24,-52.04226712,0.479577329,"mitochondrial inner membrane,vacuolar membrane,integral component of plasma membrane,brush border membrane,extracellular exosome","catalytic activity,protein binding,protein heterodimerization activity","carbohydrate metabolic process,amino acid transport",
Q61578,Fdxr,"NADPH:adrenodoxin oxidoreductase, mitochondrial",ADRO_MOUSE,-0.838252024,0.838252024,7.19E-05,2.71E-05,9,-44.06791655,0.559320835,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix","NADPH-adrenodoxin reductase activity,NADPH binding","ubiquinone biosynthetic process,cholesterol metabolic process,NADPH oxidation",
Q3U0B3,Dhrs11,Dehydrogenase/reductase SDR family member 11,DHR11_MOUSE,-1.72127815,1.72127815,6.94E-05,2.62E-05,8,-69.67200876,0.303279912,"cellular_component,extracellular region","nucleotide binding,3-keto sterol reductase activity,estradiol 17-beta-dehydrogenase activity,17-beta-ketosteroid reductase activity,17-beta-hydroxysteroid dehydrogenase (NADP+) activity","steroid biosynthetic process,estrogen biosynthetic process,oxidation-reduction process",
Q9CRD0,Ociad1,OCIA domain-containing protein 1,OCAD1_MOUSE,-0.866081833,0.866081833,6.89E-05,2.61E-05,9,-45.1365152,0.548634848,"mitochondrion,endosome,membrane",protein binding,regulation of stem cell differentiation,
A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,TTC38_MOUSE,-1.009630431,1.009630431,6.91E-05,2.61E-05,12,-50.33265377,0.496673462,extracellular exosome,molecular_function,biological_process,
Q8C6B0,Mettl7a1,"MCG20149, isoform CRA_a",Q8C6B0_MOUSE,-0.840317269,0.840317269,6.84E-05,2.59E-05,4,-44.14792711,0.558520729,"lipid particle,integral component of membrane,extracellular exosome",methyltransferase activity,methylation,
O70572,Smpd2,Sphingomyelin phosphodiesterase 2,NSMA_MOUSE,-0.647173446,0.647173446,6.65E-05,2.53E-05,7,-36.14698915,0.638530108,"intracellular,caveola,integral component of membrane","sphingomyelin phosphodiesterase activity,metal ion binding","response to mechanical stimulus,intracellular signal transduction,positive regulation of apoptotic process,ceramide biosynthetic process",
Q4VAE3,Tmem65,Transmembrane protein 65,TMM65_MOUSE,-1.13984472,1.13984472,6.67E-05,2.53E-05,3,-54.61915807,0.453808419,"mitochondrion,mitochondrial inner membrane,plasma membrane,intercalated disc,integral component of membrane",protein binding,"cardiac ventricle development,regulation of cardiac conduction",
Q9D7P6,Iscu,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial",ISCU_MOUSE,-1.328581193,1.328581193,6.62E-05,2.52E-05,5,-60.18403836,0.398159616,"cytoplasm,mitochondrion,mitochondrial matrix,cytosol","ferrous iron binding,protein complex scaffold,iron-sulfur transferase activity,2 iron, 2 sulfur cluster binding,4 iron, 4 sulfur cluster binding","cellular iron ion homeostasis,iron-sulfur cluster assembly,protein maturation by iron-sulfur cluster transfer",
Q8VCH7,Rdh10,Retinol dehydrogenase 10,RDH10_MOUSE,-0.825738704,0.825738704,6.38E-05,2.44E-05,7,-43.58067558,0.564193244,"cytoplasm,endoplasmic reticulum membrane,membrane,integral component of membrane,organelle membrane,cell body","retinol dehydrogenase activity,NADP-retinol dehydrogenase activity","metanephros development,in utero embryonic development,retinoic acid biosynthetic process,visual perception,gonad development,animal organ morphogenesis,neural crest cell development,embryonic camera-type eye development,embryonic forelimb morphogenesis,retinol metabolic process,retinal metabolic process,ear development,nose development,embryonic organ development,embryonic viscerocranium morphogenesis,oxidation-reduction process,primary lung bud formation,bud elongation involved in lung branching",
Q9CY73,Mrpl44,"39S ribosomal protein L44, mitochondrial",RM44_MOUSE,-0.966079348,0.966079348,6.37E-05,2.44E-05,4,-48.81047046,0.511895295,"nucleus,mitochondrion,mitochondrial large ribosomal subunit,plasma membrane","RNA binding,double-stranded RNA binding,ribonuclease III activity","RNA processing,mitochondrial translational elongation,RNA phosphodiester bond hydrolysis, endonucleolytic",
Q99J94,Slco1a6,Solute carrier organic anion transporter family member 1A6,SO1A6_MOUSE,-1.065628536,1.065628536,6.34E-05,2.43E-05,2,-52.22355331,0.477764467,integral component of plasma membrane,sodium-independent organic anion transmembrane transporter activity,"xenobiotic metabolic process,bile acid metabolic process,animal organ regeneration,multicellular organism growth,heme metabolic process,response to drug,cholesterol homeostasis,sodium-independent organic anion transport,triglyceride homeostasis",
Q91ZE0,Tmlhe,"Trimethyllysine dioxygenase, mitochondrial",TMLH_MOUSE,-1.458067723,1.458067723,6.17E-05,2.37E-05,7,-63.60196991,0.363980301,"mitochondrion,mitochondrial matrix","iron ion binding,oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,trimethyllysine dioxygenase activity","carnitine biosynthetic process,negative regulation of oxidoreductase activity,oxidation-reduction process",
D3Z2K2;Q9CR88,Mrps14,"28S ribosomal protein S14, mitochondrial;28S ribosomal protein S14, mitochondrial",D3Z2K2_MOUSE;RT14_MOUSE,-0.720694047,0.720694047,6.11E-05,2.36E-05,2,-39.31945478,0.606805452,";mitochondrion,mitochondrial small ribosomal subunit",";RNA binding,structural constituent of ribosome,protein binding",;translation,
Q9DCM0,Ethe1,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1_MOUSE,-0.990293032,0.990293032,6.02E-05,2.33E-05,12,-49.6624478,0.503375522,"nucleoplasm,cytoplasm,mitochondrion,mitochondrial matrix","iron ion binding,sulfur dioxygenase activity","glutathione metabolic process,oxidation-reduction process,hydrogen sulfide metabolic process",
Q9D1H8,Mrpl53,"39S ribosomal protein L53, mitochondrial",RM53_MOUSE,-0.783583426,0.783583426,5.99E-05,2.32E-05,4,-41.90779188,0.580922081,"mitochondrion,mitochondrial large ribosomal subunit",molecular_function,biological_process,
F6TVX7;Q8BSF4,Gm20671;Pisd,"Protein Gm20671 (Fragment);Phosphatidylserine decarboxylase proenzyme, mitochondrial",F6TVX7_MOUSE;PISD_MOUSE,-0.688745409,0.688745409,5.92E-05,2.29E-05,5,-37.96068804,0.62039312,"mitochondrion;nucleus,mitochondrion,mitochondrial inner membrane,integral component of membrane",phosphatidylserine decarboxylase activity;phosphatidylserine decarboxylase activity,phospholipid biosynthetic process;phospholipid biosynthetic process,
