Significantly Altered Protein Groups: No Diet Injured vs. Healthy Kidney Lysates,,,,,,,,,,,,,,,,,,,,
"2,226 significantly altered protein groups (|log2(FC)| ³ 0.58 & q-value ² 0.01)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,Q8R010,Q8R010,0.930074546,0.930074546,8.54E-05,3.13E-05,16,Q8R010,Aimp2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2_MOUSE,5,90.53744472,1.905374447,Injured,Non-injured,"nucleus,cytosol,membrane,aminoacyl-tRNA synthetase multienzyme complex","protein binding,protein complex scaffold","translation,protein complex assembly,apoptotic process,negative regulation of cell proliferation,positive regulation of protein ubiquitination,Type II pneumocyte differentiation,positive regulation of neuron death,positive regulation of aminoacyl-tRNA ligase activity",
Injured / Non-injured,P20852;Q91X75,P20852;Q91X75,-0.930916167,0.930916167,0.000488567,0.000142421,16,P20852;Q91X75,Cyp2a5,Cytochrome P450 2A5;Cyp2a4 protein,CP2A5_MOUSE;Q91X75_MOUSE,18,-47.54748578,0.524525142,Injured,Non-injured,"endoplasmic reticulum membrane,cytoplasmic microtubule,organelle membrane;","iron ion binding,coumarin 7-hydroxylase activity,arachidonic acid epoxygenase activity,steroid hydroxylase activity,enzyme binding,heme binding,aromatase activity;","epoxygenase P450 pathway,response to stilbenoid,heme metabolic process,oxidation-reduction process,cellular response to cadmium ion;",
Injured / Non-injured,B1AT92;Q60631,B1AT92;Q60631,0.932062555,0.932062555,5.64E-05,2.19E-05,16,B1AT92;Q60631,Grb2,Growth factor receptor-bound protein 2,B1AT92_MOUSE;GRB2_MOUSE,9,90.80018302,1.90800183,Injured,Non-injured,";nucleus,nucleoplasm,nucleolus,cytoplasm,endosome,Golgi apparatus,cytosol,plasma membrane,cell-cell junction,COP9 signalosome,vesicle membrane,membrane,extrinsic component of cytoplasmic side of plasma membrane,extracellular exosome,Grb2-EGFR complex",";phosphotyrosine binding,RNA binding,non-membrane spanning protein tyrosine kinase activity,SH3/SH2 adaptor activity,epidermal growth factor receptor binding,neurotrophin TRKA receptor binding,protein binding,SH3 domain binding,protein kinase binding,protein phosphatase binding,protein domain specific binding,identical protein binding,insulin receptor substrate binding,ephrin receptor binding",";Ras protein signal transduction,aging,insulin receptor signaling pathway,positive regulation of signal transduction,cell migration,cell differentiation,positive regulation of actin filament polymerization,receptor internalization,peptidyl-tyrosine autophosphorylation,Fc-epsilon receptor signaling pathway,regulation of cell proliferation,signal transduction in response to DNA damage,regulation of MAPK cascade,innate immune response,anatomical structure formation involved in morphogenesis,protein heterooligomerization,branching involved in labyrinthine layer morphogenesis,cellular response to ionizing radiation,positive regulation of reactive oxygen species metabolic process",
Injured / Non-injured,P62075,P62075,-0.932479772,0.932479772,1.56E-06,1.10E-06,16,P62075,Timm13,Mitochondrial import inner membrane translocase subunit Tim13,TIM13_MOUSE,7,-47.60430345,0.523956966,Injured,Non-injured,"fibrillar center,mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex","protein transporter activity,metal ion binding","protein import into mitochondrial inner membrane,chaperone-mediated protein transport",
Injured / Non-injured,Q3U816;Q9Z2G9,Q3U816;Q9Z2G9,-0.933974075,0.933974075,0.004466953,0.001029198,16,Q3U816;Q9Z2G9,Htatip2,Oxidoreductase HTATIP2,Q3U816_MOUSE;HTAI2_MOUSE,4,-47.65854535,0.523414547,Injured,Non-injured,";nuclear envelope,cytoplasm,cytosol,membrane",";protein serine/threonine kinase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,NAD binding",";angiogenesis,apoptotic process,cell differentiation,positive regulation of programmed cell death,regulation of angiogenesis,positive regulation of transcription from RNA polymerase II promoter during mitosis,protein autophosphorylation,nuclear import,oxidation-reduction process",
Injured / Non-injured,Q8BSL7,Q8BSL7,0.934342916,0.934342916,0.016724962,0.00341824,12,Q8BSL7,Arf2,ADP-ribosylation factor 2,ARF2_MOUSE,2,91.10200514,1.911020051,Injured,Non-injured,Golgi apparatus,GTP binding,"small GTPase mediated signal transduction,protein transport,vesicle-mediated transport",
Injured / Non-injured,A0A0J9YU62;A0A0J9YUM4;O88712;O88712-2,A0A0J9YU62;A0A0J9YUM4;O88712;O88712-2,0.935440502,0.935440502,8.80E-06,4.55E-06,16,A0A0J9YU62;A0A0J9YUM4;O88712;O88712-2,Ctbp1,C-terminal-binding protein 1;C-terminal-binding protein 1;C-terminal-binding protein 1;Isoform 2 of C-terminal-binding protein 1,A0A0J9YU62_MOUSE;A0A0J9YUM4_MOUSE;CTBP1_MOUSE;CTBP1_MOUSE,8,91.24744868,1.912474487,Injured,Non-injured,";;nucleus,nucleoplasm,transcription factor complex,cytosol,transcriptional repressor complex;",";;RNA polymerase II transcription corepressor activity,transcription factor activity, sequence-specific DNA binding,transcription corepressor activity,protein binding,transcription factor binding,hydroxypyruvate reductase activity,protein domain specific binding,glyoxylate reductase (NADP) activity,identical protein binding,protein homodimerization activity,NAD binding,repressing transcription factor binding;",";;negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,positive regulation of histone deacetylation,negative regulation of histone acetylation,negative regulation of transcription, DNA-templated,white fat cell differentiation,regulation of cell cycle,oxidation-reduction process,negative regulation of histone H4 acetylation,negative regulation of transcription from RNA polymerase II promoter by histone modification;",
Injured / Non-injured,Q8BJU0;Q8BJU0-2,Q8BJU0;Q8BJU0-2,0.935862893,0.935862893,8.21E-05,3.02E-05,16,Q8BJU0;Q8BJU0-2,Sgta,Small glutamine-rich tetratricopeptide repeat-containing protein alpha;Isoform 2 of Small glutamine-rich tetratricopeptide repeat-containing protein alpha,SGTA_MOUSE,4,91.30345023,1.913034502,Injured,Non-injured,"nucleus,cytoplasm,cytosol,membrane;","protein homodimerization activity,protein self-association,protein heterodimerization activity,BAT3 complex binding;","ER-associated ubiquitin-dependent protein catabolic process,negative regulation of ER-associated ubiquitin-dependent protein catabolic process,positive regulation of ER-associated ubiquitin-dependent protein catabolic process,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process;",
Injured / Non-injured,Q8BWM0,Q8BWM0,-0.935980471,0.935980471,1.84E-08,3.35E-08,16,Q8BWM0,Ptges2,Prostaglandin E synthase 2,PGES2_MOUSE,16,-47.73128746,0.522687125,Injured,Non-injured,"Golgi membrane,nucleus,mitochondrion,cytosol,integral component of membrane","DNA binding,electron carrier activity,protein disulfide oxidoreductase activity,lyase activity,heme binding,glutathione binding,prostaglandin-E synthase activity","prostaglandin biosynthetic process,cell redox homeostasis,positive regulation of transcription, DNA-templated,secretion,oxidation-reduction process",
Injured / Non-injured,Q8BYL4,Q8BYL4,-0.936079873,0.936079873,0.001824058,0.000459905,16,Q8BYL4,Yars2,"Tyrosine--tRNA ligase, mitochondrial",SYYM_MOUSE,6,-47.73488867,0.522651113,Injured,Non-injured,"mitochondrion,mitochondrial matrix,cytosol,nuclear body","tRNA binding,RNA binding,tyrosine-tRNA ligase activity,ATP binding,protein homodimerization activity,tyrosine binding","tRNA aminoacylation,mitochondrial tyrosyl-tRNA aminoacylation",
Injured / Non-injured,Q8K0C9,Q8K0C9,0.93786826,0.93786826,0.000369117,0.000111914,16,Q8K0C9,Gmds,"GDP-mannose 4,6 dehydratase",GMDS_MOUSE,11,91.56954966,1.915695497,Injured,Non-injured,"cellular_component,extracellular exosome","GDP-mannose 4,6-dehydratase activity,identical protein binding,NADP+ binding","Notch signaling pathway,GDP-mannose metabolic process,'de novo' GDP-L-fucose biosynthetic process",
Injured / Non-injured,Q9CZR8,Q9CZR8,-0.938088621,0.938088621,1.67E-05,7.76E-06,16,Q9CZR8,Tsfm,"Elongation factor Ts, mitochondrial",EFTS_MOUSE,13,-47.80760979,0.521923902,Injured,Non-injured,"nucleus,mitochondrion,mitochondrial matrix","RNA binding,translation elongation factor activity","mitochondrial translational elongation,regulation of mitochondrial translation",
Injured / Non-injured,P47753;Q5RKN9,P47753;Q5RKN9,0.938764881,0.938764881,2.78E-05,1.20E-05,16,P47753;Q5RKN9,Capza1,"F-actin-capping protein subunit alpha-1;Capping protein (Actin filament) muscle Z-line, alpha 1",CAZA1_MOUSE;Q5RKN9_MOUSE,11,91.68864531,1.916886453,Injured,Non-injured,"brush border,cell-cell junction,F-actin capping protein complex,membrane,cortical cytoskeleton,extracellular exosome,WASH complex;","protein binding,cadherin binding,actin filament binding;","cell junction assembly,barbed-end actin filament capping;",
Injured / Non-injured,Q8VHC3,Q8VHC3,-0.93900034,0.93900034,0.031056932,0.005962572,16,Q8VHC3,Selm,Selenoprotein M,SELM_MOUSE,2,-47.84058261,0.521594174,Injured,Non-injured,"endoplasmic reticulum,Golgi apparatus,perinuclear region of cytoplasm",molecular_function,"response to selenium ion,multicellular organism growth,corticosterone secretion,hormone metabolic process,adipose tissue development",
Injured / Non-injured,E0CX39;E0CZ04;Q923B0,E0CX39;E0CZ04;Q923B0,-0.939252056,0.939252056,0.003218876,0.000767223,16,E0CX39;E0CZ04;Q923B0,Ggact,Gamma-glutamylaminecyclotransferase (Fragment);Gamma-glutamylaminecyclotransferase (Fragment);Gamma-glutamylaminecyclotransferase,E0CX39_MOUSE;E0CZ04_MOUSE;GGACT_MOUSE,6,-47.8496824,0.521503176,Injured,Non-injured,;;extracellular exosome,;;gamma-glutamylcyclotransferase activity,;;cellular modified amino acid catabolic process,
Injured / Non-injured,Q8K310,Q8K310,0.939495764,0.939495764,7.92E-05,2.93E-05,16,Q8K310,Matr3,Matrin-3,MATR3_MOUSE,24,91.78578117,1.917857812,Injured,Non-injured,"nucleus,membrane,nuclear matrix","RNA binding,zinc ion binding,miRNA binding,identical protein binding","activation of innate immune response,heart valve development,ventricular septum development,posttranscriptional regulation of gene expression",
Injured / Non-injured,Q9D1B1,Q9D1B1,0.940248049,0.940248049,0.0076039,0.001672292,16,Q9D1B1,Cst6,Cystatin,Q9D1B1_MOUSE,2,91.88581287,1.918858129,Injured,Non-injured,"cornified envelope,extracellular space,extracellular exosome","protease binding,cysteine-type endopeptidase inhibitor activity","epidermis development,negative regulation of cysteine-type endopeptidase activity",
Injured / Non-injured,Q3UIL6-2,Q3UIL6-2,-0.94083395,0.94083395,5.81E-06,3.27E-06,16,Q3UIL6-2,Plekha7,Isoform 2 of Pleckstrin homology domain-containing family A member 7,PKHA7_MOUSE,10,-47.90683313,0.520931669,Injured,Non-injured,,,,
Injured / Non-injured,Q3TGF2,Q3TGF2,0.940920185,0.940920185,0.000210497,6.83E-05,16,Q3TGF2,Fam107b,Protein FAM107B,F107B_MOUSE,4,91.97523119,1.919752312,Injured,Non-injured,cellular_component,molecular_function,sensory perception of sound,
Injured / Non-injured,Q9WVK4,Q9WVK4,-0.943040855,0.943040855,1.11E-09,4.59E-09,16,Q9WVK4,Ehd1,EH domain-containing protein 1,EHD1_MOUSE,36,-47.98645965,0.520135403,Injured,Non-injured,"endosome,early endosome,lipid particle,plasma membrane,endosome membrane,membrane,ciliary pocket membrane,endocytic vesicle,platelet dense tubular network membrane,early endosome membrane,myelin sheath,perinuclear region of cytoplasm,recycling endosome membrane,extracellular exosome","calcium ion binding,protein binding,ATP binding,GTP binding,Rab GTPase binding,identical protein binding,cadherin binding","intracellular protein transport,endocytosis,positive regulation of cholesterol storage,endosomal transport,neuron projection development,endocytic recycling,low-density lipoprotein particle clearance,cholesterol homeostasis,protein homooligomerization,cilium morphogenesis,protein localization to cilium,positive regulation of myoblast fusion,cellular response to nerve growth factor stimulus,positive regulation of endocytic recycling",
Injured / Non-injured,Q91V16,Q91V16,-0.943788451,0.943788451,2.68E-05,1.16E-05,16,Q91V16,Etfrf1,Electron transfer flavoprotein regulatory factor 1,ETFR1_MOUSE,3,-48.01340578,0.519865942,Injured,Non-injured,mitochondrion,molecular_function,respiratory electron transport chain,
Injured / Non-injured,Q91WQ9,Q91WQ9,-0.945425066,0.945425066,2.09E-05,9.36E-06,16,Q91WQ9,Calml4,Calmodulin-like protein 4,CALL4_MOUSE,5,-48.07234671,0.519276533,Injured,Non-injured,,calcium ion binding,,
Injured / Non-injured,Q8VCL2,Q8VCL2,-0.945426404,0.945426404,0.00321585,0.000766845,16,Q8VCL2,Sco2,"Protein SCO2 homolog, mitochondrial",SCO2_MOUSE,3,-48.07239488,0.519276051,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,myofibril",copper ion binding,"eye development,in utero embryonic development,muscle system process,copper ion transport,cellular copper ion homeostasis,respiratory chain complex IV assembly,response to activity,respiratory electron transport chain,cell redox homeostasis,copper ion homeostasis",
Injured / Non-injured,Q8VDQ1,Q8VDQ1,-0.945836297,0.945836297,1.70E-06,1.18E-06,16,Q8VDQ1,Ptgr2,Prostaglandin reductase 2,PTGR2_MOUSE,14,-48.08714626,0.519128537,Injured,Non-injured,"mitochondrion,cytosol,extracellular exosome","13-prostaglandin reductase activity,15-oxoprostaglandin 13-oxidase activity,zinc ion binding","prostaglandin metabolic process,cyclooxygenase pathway,oxidation-reduction process",
Injured / Non-injured,Q9D6Y7;Q9D6Y7-2,Q9D6Y7;Q9D6Y7-2,-0.946086647,0.946086647,8.77E-05,3.21E-05,16,Q9D6Y7;Q9D6Y7-2,Msra,Mitochondrial peptide methionine sulfoxide reductase;Isoform 2 of Mitochondrial peptide methionine sulfoxide reductase,MSRA_MOUSE,12,-48.09615386,0.519038461,Injured,Non-injured,"nucleoplasm,cytoplasm,mitochondrion,cytosol,actin cytoskeleton,membrane,extracellular exosome;",peptide-methionine (S)-S-oxide reductase activity;,oxidation-reduction process;,
Injured / Non-injured,Q9D6S7,Q9D6S7,-0.948742089,0.948742089,0.000475895,0.000139337,16,Q9D6S7,Mrrf,"Ribosome-recycling factor, mitochondrial",RRFM_MOUSE,4,-48.19160084,0.518083992,Injured,Non-injured,mitochondrion,ribosomal large subunit binding,"translation,ribosome disassembly",
Injured / Non-injured,P26443,P26443,-0.948963368,0.948963368,3.80E-10,2.28E-09,16,P26443,Glud1,"Glutamate dehydrogenase 1, mitochondrial",DHE3_MOUSE,37,-48.19954655,0.518004535,Injured,Non-injured,"cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix","glutamate dehydrogenase (NAD+) activity,glutamate dehydrogenase [NAD(P)+] activity,protein binding,ATP binding,GTP binding,enzyme binding,ADP binding,NAD+ binding,leucine binding","glutamate biosynthetic process,glutamate catabolic process,glutamine metabolic process,long-term memory,response to aluminum ion,cerebellum development,positive regulation of insulin secretion,oxidation-reduction process,tricarboxylic acid metabolic process",
Injured / Non-injured,P31428,P31428,-0.949440022,0.949440022,1.03E-07,1.27E-07,16,P31428,Dpep1,Dipeptidase 1,DPEP1_MOUSE,15,-48.21665814,0.517833419,Injured,Non-injured,"extracellular space,nucleus,plasma membrane,apical plasma membrane,cell junction,anchored component of membrane,microvillus membrane,apical part of cell,extracellular exosome","dipeptidyl-peptidase activity,zinc ion binding,dipeptidase activity,GPI anchor binding,cysteine-type endopeptidase inhibitor activity involved in apoptotic process,metallodipeptidase activity,modified amino acid binding","proteolysis,apoptotic process,antibiotic metabolic process,negative regulation of cell migration,cellular response to drug,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,homocysteine metabolic process,cellular response to calcium ion,cellular response to nitric oxide",
Injured / Non-injured,Q6PB66,Q6PB66,-0.949881183,0.949881183,7.31E-09,1.71E-08,16,Q6PB66,Lrpprc,"Leucine-rich PPR motif-containing protein, mitochondrial",LPPRC_MOUSE,67,-48.23249054,0.517675095,Injured,Non-injured,"condensed nuclear chromosome,nucleus,nuclear inner membrane,nuclear outer membrane,nucleoplasm,cytoplasm,mitochondrion,cytoskeleton,microtubule,membrane,intracellular ribonucleoprotein complex,mitochondrial nucleoid,perinuclear region of cytoplasm","single-stranded DNA binding,RNA binding,endonuclease activity,protein binding,ubiquitin protein ligase binding,beta-tubulin binding,actin filament binding","negative regulation of mitochondrial RNA catabolic process,transcription, DNA-templated,regulation of transcription, DNA-templated,RNA modification,mRNA transport,regulation of mitochondrial translation,nucleic acid phosphodiester bond hydrolysis",
Injured / Non-injured,A0A087WQT6;O89110,A0A087WQT6;O89110,0.950454399,0.950454399,0.000170973,5.75E-05,16,A0A087WQT6;O89110,Casp8,Caspase-8,A0A087WQT6_MOUSE;CASP8_MOUSE,8,93.24812261,1.932481226,Injured,Non-injured,";nucleus,nucleoplasm,cytoplasm,mitochondrion,cytosol,plasma membrane,Noc1p-Noc2p complex,death-inducing signaling complex,CD95 death-inducing signaling complex,ripoptosome",";endopeptidase activity,cysteine-type endopeptidase activity,protein binding,peptidase activity,ubiquitin protein ligase binding,death effector domain binding,identical protein binding,protein heterodimerization activity,scaffold protein binding,cysteine-type endopeptidase activity involved in apoptotic process,cysteine-type endopeptidase activity involved in apoptotic signaling pathway,cysteine-type endopeptidase activity involved in execution phase of apoptosis",";angiogenesis,neural tube formation,proteolysis,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,heart development,extrinsic apoptotic signaling pathway via death domain receptors,macrophage differentiation,response to tumor necrosis factor,TRAIL-activated apoptotic signaling pathway,positive regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of macrophage differentiation,positive regulation of proteolysis,cardiac muscle tissue development,proteolysis involved in cellular protein catabolic process,negative regulation of necroptotic process,regulation of thymocyte apoptotic process,apoptotic signaling pathway,extrinsic apoptotic signaling pathway,execution phase of apoptosis,activation of cysteine-type endopeptidase activity,hepatocyte apoptotic process,regulation of apoptotic signaling pathway,positive regulation of extrinsic apoptotic signaling pathway",
Injured / Non-injured,Q7TMQ7;S4R1X1,Q7TMQ7;S4R1X1,-0.952491589,0.952491589,9.61E-05,3.46E-05,16,Q7TMQ7;S4R1X1,Wdr91,WD repeat-containing protein 91,WDR91_MOUSE;S4R1X1_MOUSE,3,-48.32607374,0.516739263,Injured,Non-injured,"cytosol,extrinsic component of endosome membrane,early endosome membrane,late endosome membrane;",phosphatidylinositol 3-kinase regulator activity;,"regulation of phosphatidylinositol 3-kinase activity,early endosome to late endosome transport,regulation of cellular protein catabolic process;",
Injured / Non-injured,O88307,O88307,0.953067502,0.953067502,0.001198263,0.0003147,14,O88307,Sorl1,Sortilin-related receptor,SORL_MOUSE,3,93.59846335,1.935984634,Injured,Non-injured,"extracellular space,nuclear envelope lumen,endosome,early endosome,endoplasmic reticulum,Golgi apparatus,trans-Golgi network,membrane,integral component of membrane,Golgi cisterna,low-density lipoprotein particle,perinuclear region of cytoplasm,recycling endosome,extracellular exosome","beta-amyloid binding,protein binding,low-density lipoprotein particle binding,ADP-ribosylation factor binding","protein targeting to Golgi,protein targeting,protein targeting to lysosome,lipid transport,post-Golgi vesicle-mediated transport,endocytosis,cholesterol metabolic process,regulation of smooth muscle cell migration,negative regulation of protein binding,negative regulation of protein oligomerization,negative regulation of MAP kinase activity,protein retention in Golgi apparatus,positive regulation of protein catabolic process,negative regulation of neurogenesis,protein maturation,positive regulation of protein exit from endoplasmic reticulum,negative regulation of neuron death,negative regulation of beta-amyloid formation,positive regulation of choline O-acetyltransferase activity,negative regulation of tau-protein kinase activity,positive regulation of ER to Golgi vesicle-mediated transport,positive regulation of early endosome to recycling endosome transport,negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process,positive regulation of protein localization to early endosome,negative regulation of neurofibrillary tangle assembly,positive regulation of endocytic recycling",
Injured / Non-injured,Q9CQR4,Q9CQR4,-0.953068866,0.953068866,1.26E-07,1.45E-07,16,Q9CQR4,Acot13,Acyl-coenzyme A thioesterase 13,ACO13_MOUSE,7,-48.3467463,0.516532537,Injured,Non-injured,"nucleus,mitochondrion,spindle,cytosol,extracellular exosome",acyl-CoA hydrolase activity,protein homotetramerization,
Injured / Non-injured,Q8VDT9,Q8VDT9,-0.953170995,0.953170995,0.000486501,0.000141896,16,Q8VDT9,Mrpl50,"39S ribosomal protein L50, mitochondrial",RM50_MOUSE,3,-48.35040274,0.516495973,Injured,Non-injured,"mitochondrion,mitochondrial large ribosomal subunit",molecular_function,biological_process,
Injured / Non-injured,Q8VHM5,Q8VHM5,0.953287963,0.953287963,5.39E-05,2.12E-05,16,Q8VHM5,Hnrnpr,Heterogeneous nuclear ribonucleoprotein R,Q8VHM5_MOUSE,12,93.62804989,1.936280499,Injured,Non-injured,"nucleus,nucleoplasm,cytoplasm,viral nucleocapsid,dendrite,growth cone,intracellular ribonucleoprotein complex,axon terminus,catalytic step 2 spliceosome","RNA binding,mRNA 3'-UTR binding","circadian rhythm,negative regulation of catalytic activity,mRNA destabilization",
Injured / Non-injured,Q3TBW2,Q3TBW2,-0.955478244,0.955478244,9.13E-05,3.32E-05,16,Q3TBW2,Mrpl10,"39S ribosomal protein L10, mitochondrial",RM10_MOUSE,6,-48.432938,0.51567062,Injured,Non-injured,"nucleoplasm,mitochondrion,mitochondrial large ribosomal subunit,intracellular ribonucleoprotein complex","RNA binding,structural constituent of ribosome","translation,mitochondrial translation",
Injured / Non-injured,P70268;P70268-2,P70268;P70268-2,0.956532675,0.956532675,5.52E-05,2.16E-05,16,P70268;P70268-2,Pkn1,Serine/threonine-protein kinase N1;Isoform 2 of Serine/threonine-protein kinase N1,PKN1_MOUSE,2,94.06402161,1.940640216,Injured,Non-injured,"nucleus,cytoplasm,endosome,plasma membrane,midbody,cytoplasmic vesicle,cleavage furrow,protein complex;","chromatin binding,protein kinase activity,protein serine/threonine kinase activity,protein kinase C activity,protein kinase C binding,protein binding,ATP binding,GTP-Rho binding,ligand-dependent nuclear receptor transcription coactivator activity,histone kinase activity (H3-T11 specific),histone binding,histone deacetylase binding,Rac GTPase binding,androgen receptor binding;","B cell homeostasis,B cell apoptotic process,negative regulation of protein phosphorylation,regulation of germinal center formation,regulation of immunoglobulin production,renal system process,transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,protein phosphorylation,negative regulation of protein kinase activity,hyperosmotic response,epithelial cell migration,peptidyl-serine phosphorylation,negative regulation of B cell proliferation,histone H3-T11 phosphorylation,intracellular signal transduction,spleen development,regulation of cell motility;",
Injured / Non-injured,Q9WV85,Q9WV85,-0.956872601,0.956872601,4.38E-08,6.64E-08,16,Q9WV85,Nme3,Nucleoside diphosphate kinase 3,NDK3_MOUSE,5,-48.48275322,0.515172468,Injured,Non-injured,"mitochondrion,extracellular exosome","nucleoside diphosphate kinase activity,ATP binding,metal ion binding","nucleoside diphosphate phosphorylation,GTP biosynthetic process,UTP biosynthetic process,CTP biosynthetic process,regulation of apoptotic process",
Injured / Non-injured,O35857,O35857,-0.957471556,0.957471556,3.54E-09,1.03E-08,16,O35857,Timm44,Mitochondrial import inner membrane translocase subunit TIM44,TIM44_MOUSE,15,-48.50413691,0.514958631,Injured,Non-injured,"mitochondrion,mitochondrial inner membrane,mitochondrial matrix","ATP binding,chaperone binding",protein import into mitochondrial matrix,
Injured / Non-injured,P10649,P10649,-0.957621408,0.957621408,2.19E-07,2.25E-07,16,P10649,Gstm1,Glutathione S-transferase Mu 1,GSTM1_MOUSE,18,-48.50948548,0.514905145,Injured,Non-injured,"cytoplasm,myelin sheath","glutathione transferase activity,protein binding,identical protein binding,protein homodimerization activity,protein heterodimerization activity","glutathione metabolic process,cellular response to drug",
Injured / Non-injured,E9QNH7;Q5XG73;Q5XG73-2;Q5XG73-3,E9QNH7;Q5XG73;Q5XG73-2;Q5XG73-3,-0.958135332,0.958135332,3.87E-06,2.32E-06,16,E9QNH7;Q5XG73;Q5XG73-2;Q5XG73-3,Acbd5,Acyl-CoA-binding domain-containing protein 5;Acyl-CoA-binding domain-containing protein 5;Isoform 2 of Acyl-CoA-binding domain-containing protein 5;Isoform 3 of Acyl-CoA-binding domain-containing protein 5,E9QNH7_MOUSE;ACBD5_MOUSE;ACBD5_MOUSE;ACBD5_MOUSE,6,-48.52782441,0.514721756,Injured,Non-injured,";nucleus,nucleoplasm,peroxisome,peroxisomal membrane,membrane,integral component of membrane;;",";fatty-acyl-CoA binding,molecular_function,lipid binding;;",";transport,pexophagy;;",
Injured / Non-injured,Q91ZW3,Q91ZW3,0.960482217,0.960482217,0.005321633,0.00120524,16,Q91ZW3,Smarca5,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMCA5_MOUSE,11,94.59602181,1.945960218,Injured,Non-injured,"condensed chromosome,fibrillar center,nucleus,nucleoplasm,chromatin silencing complex,NURF complex,ISWI-type complex,RSF complex,nuclear replication fork","DNA binding,helicase activity,protein binding,ATP binding,ATPase activity,nucleosome binding,histone binding","chromatin silencing at rDNA,chromatin assembly or disassembly,nucleosome assembly,chromatin remodeling,DNA-templated transcription, initiation,chromatin modification,nucleosome positioning,ATP-dependent chromatin remodeling,positive regulation of transcription, DNA-templated,cellular response to leukemia inhibitory factor",
Injured / Non-injured,E9PXG9;Q8CCB4,E9PXG9;Q8CCB4,-0.960989403,0.960989403,0.015123053,0.003112365,16,E9PXG9;Q8CCB4,Vps53,Vacuolar protein sorting-associated protein 53 homolog,E9PXG9_MOUSE;VPS53_MOUSE,3,-48.62955072,0.513704493,Injured,Non-injured,";GARP complex,Golgi apparatus,trans-Golgi network,cytosol,endosome membrane,membrane,perinuclear region of cytoplasm,recycling endosome,EARP complex",;,";lysosomal transport,protein transport,endocytic recycling,retrograde transport, endosome to Golgi",
Injured / Non-injured,P13634,P13634,-0.961783514,0.961783514,0.014163545,0.002930769,16,P13634,Ca1,Carbonic anhydrase 1,CAH1_MOUSE,8,-48.65781906,0.513421809,Injured,Non-injured,"cytoplasm,extracellular exosome","arylesterase activity,carbonate dehydratase activity,zinc ion binding,hydro-lyase activity",one-carbon metabolic process,
Injured / Non-injured,E9PWV3;F6Q8A4;F6RQA2;G3UZI3;P18653;Q505N6,E9PWV3;F6Q8A4;F6RQA2;G3UZI3;P18653;Q505N6,0.962484733,0.962484733,0.000425618,0.000126497,16,E9PWV3;F6Q8A4;F6RQA2;G3UZI3;P18653;Q505N6,Rps6ka1,Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1 (Fragment);Ribosomal protein S6 kinase;Ribosomal protein S6 kinase alpha-1;Ribosomal protein S6 kinase alpha-1;Ribosomal protein S6 kinase,E9PWV3_MOUSE;F6Q8A4_MOUSE;F6RQA2_MOUSE;G3UZI3_MOUSE;KS6A1_MOUSE;Q505N6_MOUSE,8,94.86631612,1.948663161,Injured,Non-injured,";;;;nucleus,cytoplasm,spindle,cytosol;",";;;;magnesium ion binding,protein serine/threonine kinase activity,protein serine/threonine/tyrosine kinase activity,ATP binding,transcription factor binding,kinase activity,cysteine-type endopeptidase inhibitor activity involved in apoptotic process;",";;;;protein phosphorylation,apoptotic process,intracellular signal transduction,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of transcription from RNA polymerase II promoter,hepatocyte proliferation,positive regulation of hepatic stellate cell activation;",
Injured / Non-injured,O88968,O88968,0.963053472,0.963053472,0.019128247,0.003842986,16,O88968,Tcn2,Transcobalamin-2,TCO2_MOUSE,9,94.94315145,1.949431514,Injured,Non-injured,"extracellular space,extracellular exosome","cobalamin binding,metal ion binding","cobalt ion transport,cobalamin transport",
